MZ,LOTE,AREA,PRECIO,CONDICION,ASESOR,LADO_1,LADO_2,LADO_3,LADO_4,FRENTE_LADO,ES_ESQUINA,AL_LADO_PARQUE
K,1,158.92 m2,"S/ 55,780.92",SEPARADO,PAOLA,11.98,14.97,9.26,15.21,,,
K,2,120.00 m2,"S/ 40,560.00",,,8.00,14.94,7.99,14.97,,,
K,3,120.00 m2,"S/ 40,560.00",,,7.99,14.97,8.00,14.94,,,
K,4,120.00 m2,"S/ 40,560.00",,,8.00,14.97,8.03,14.97,,,
K,5,120.00 m2,"S/ 40,560.00",,,8.03,14.94,7.99,14.97,,,
K,6,120.00 m2,"S/ 40,560.00",,,7.99,14.97,8.00,14.94,,,
K,7,120.00 m2,"S/ 40,560.00",,,8.00,14.97,8.00,14.97,,,
K,8,120.00 m2,"S/ 31,200.00",,,8.00,14.94,8.02,14.97,,,
K,9,120.00 m2,"S/ 31,200.00",,,8.02,14.97,8.00,14.94,,,
K,10,120.00 m2,"S/ 31,200.00",,,8.00,14.97,8.00,14.97,,,
K,11,120.00 m2,"S/ 31,200.00",,,8.00,14.94,8.02,14.97,,,
K,12,120.00 m2,"S/ 31,200.00",,,8.02,14.97,8.00,14.94,,,
K,13,120.00 m2,"S/ 31,200.00",,,8.00,14.97,8.00,14.97,,,
K,14,120.00 m2,"S/ 31,200.00",,,8.00,14.94,7.99,14.97,,,
K,15,120.00 m2,"S/ 31,200.00",,,7.99,14.97,8.03,14.94,,,
K,16,138.23 m2,"S/ 35,939.80",,,7.86,15.21,10.55,14.97,,,
,,,,,,,,,,,,
,,VENDIDOS,,31,,,,,,,,
,,SEPARADOS,,25,,,,,,,,
,,LIBRES,,152,,,,,,,,
