MZ,LOTE,AREA,PRECIO,CONDICION,ASESOR
G,20,120.00 m2,"S/ 37,440.00",,
H,1,127.20 m2,"S/ 39,686.40",,
H,2,129.59 m2,"S/ 33,693.40",,
H,3,131.99 m2,"S/ 34,317.40",,
H,4,172.92 m2,"S/ 44,959.20",,
H,5,222.59 m2,"S/ 57,873.40",,
H,6,126.00 m2,"S/ 42,588.00",,
H,7,126.00 m2,"S/ 42,588.00",,
H,8,126.00 m2,"S/ 44,226.00",SEPARADO,PAOLA
J,1,120.00 m2,"S/ 42,120.00",SEPARADO,PAOLA
J,2,120.00 m2,"S/ 40,560.00",SEPARADO,PAOLA
J,3,120.00 m2,"S/ 40,560.00",SEPARADO,PAOLA
J,4,154.74 m2,"S/ 54,313.74",SEPARADO,PAOLA
J,5,115.91 m2,"S/ 30,136.60",,
J,6,124.35 m2,"S/ 32,331.00",,
J,7,134.04 m2,"S/ 41,823.60",,
J,8,123.50 m2,"S/ 32,110.00",,
J,9,123.50 m2,"S/ 32,110.00",,
J,10,123.50 m2,"S/ 32,110.00",,
J,11,123.50 m2,"S/ 38,532.00",,
J,12,126.00 m2,"S/ 32,760.00",,
J,13,126.00 m2,"S/ 32,760.00",,
J,14,126.00 m2,"S/ 32,760.00",,
K,1,158.92 m2,"S/ 55,780.92",SEPARADO,PAOLA
K,2,120.00 m2,"S/ 40,560.00",,
K,3,120.00 m2,"S/ 40,560.00",,
K,4,120.00 m2,"S/ 40,560.00",,
K,5,120.00 m2,"S/ 40,560.00",,
K,6,120.00 m2,"S/ 40,560.00",,
K,7,120.00 m2,"S/ 40,560.00",,
K,8,120.00 m2,"S/ 31,200.00",,
K,9,120.00 m2,"S/ 31,200.00",,
K,10,120.00 m2,"S/ 31,200.00",,
K,11,120.00 m2,"S/ 31,200.00",,
K,12,120.00 m2,"S/ 31,200.00",,
K,13,120.00 m2,"S/ 31,200.00",,
K,14,120.00 m2,"S/ 31,200.00",,
K,15,120.00 m2,"S/ 31,200.00",,
K,16,138.23 m2,"S/ 35,939.80",,
,,,,,
,,VENDIDOS,,31,
,,SEPARADOS,,25,
,,LIBRES,,152,
